ProjectID,Project,Fuel,Market_Sector,Technology_Prime_Mover,Thermal_Energy_Use,Profile,City,State,CHP_TAP,SystemSize,YearInstalled,NAICS_Code,Status,Comment,,,,,,,
357,Metro Wastewater Reclamation District,Biogas,Waste and Wastewater Treatment ,Combustion Turbine,Anaerobic Digester | Process Heat | Space Heating,https://chptap.lbl.gov/profile/56/Denver_Metro_Wastewater-Project_Profile.pdf,Denver,CO,Upper-West,6200,1985,221320 Sewage Treatment Facilities,1,,,,,,,,
358,Trailblazer Pipeline Compressor Station,Natural Gas | Waste Heat,Pipelines,Combustion Turbine | Organic Rankine Cycle,Electricity,https://chptap.lbl.gov/profile/238/Trailblazer-Project_Profile1.pdf,Peetz,CO,Upper-West,4000,2009,221210 Natural Gas Distribution,1,,,,,,,,
359,Tesoro Petroleum,Natural Gas,Refineries,Combustion Turbine,Process Heat,https://chptap.lbl.gov/profile/224/Tesoro_Petroleum-Project_Profile.pdf,Salt Lake City,UT,Upper-West,22000,2004,324110 Petroleum Refineries,1,,,,,,,,
360,University of Arizona,Natural Gas,District Energy | Universities and Colleges,Combustion Turbine,Space Heating,https://chptap.lbl.gov/profile/243/University_of_Arizona-Project_Profile.pdf,Tucson,AZ,Western,12000,2002,"611310 Colleges, Universities and Professional Schools",1,,,,,,,,
361,Utah State University,Fuel Oil | Natural Gas,District Energy | Universities and Colleges,Combustion Turbine,Space Heating | Water Heating,https://chptap.lbl.gov/profile/260/Utah_State_University-Project_Profile.pdf,Logan,UT,Upper-West,4500,2004,"611310 Colleges, Universities and Professional Schools",1,,,,,,,,
363,New Belgium Brewing Company,Biogas | Natural Gas,Breweries,Reciprocating Engine,Anaerobic Digester,https://chptap.lbl.gov/profile/150/New_Belgium-Project_Profile.pdf,Fort Collins,CO,Upper-West,290,2003,312120 Breweries,1,,,,,,,,
366,Bucknell University,Fuel Oil | Natural Gas,District Energy | Universities and Colleges,Combined Cycle Gas Turbine,Dehumidification | Electricity | Space Heating | Steam | Water Heating,https://chptap.lbl.gov/profile/26/bucknell_project_profile1.pdf,Lewisburg,PA,Mid-Atlantic,6000,1998,"611310 Colleges, Universities and Professional Schools",1,,,,,,,,
367,Patterson Farms,Biogas,Agriculture,Reciprocating Engine,Anaerobic Digester,https://chptap.lbl.gov/profile/178/patterson-Project_Profile.pdf,Auburn,NY,New York-New Jersey,250,2005,112120 Dairy Cattle and Milk Production,1,,,,,,,,
370,Franciscan Sisters of Perpetual Adoration,Waste Heat,District Energy,Steam Turbine,Space Cooling | Space Heating,https://chptap.lbl.gov/profile/82/Franciscan_Sisters-Project_Profile.pdf,LaCrosse,WI,Midwest,295,2002,813110 Religious Organizations,1,,,,,,,,
373,SC Johnson Waxdale Plant,Biogas | Natural Gas,Manufacturing ,Combustion Turbine,Process Heat | Space Heating,https://chptap.lbl.gov/profile/196/SCJohnsonWaxdalePlant-Project_Profile.pdf,Racine,WI,Midwest,6400,2003,325612 Polish and Other Sanitation Good Manufacturing,1,,,,,,,,
374,Adkins Energy LLC - Combustion Turbine,Natural Gas,Ethanol Plants,Combustion Turbine,Process Heat,https://chptap.lbl.gov/profile/3/AdkinsEnergy-Project_Profile.pdf,Lena,IL,Midwest,5000,2002,325193 Ethyl Alcohol Manufacturing,1,,,,,,,,
377,Jesse Brown VA Medical Center,Natural Gas,Healthcare ,Combustion Turbine,Space Cooling | Space Heating,https://chptap.lbl.gov/profile/110/JesseBrownVA-Project_Profile%20.pdf,Chicago,IL,Midwest,3400,2003,622110 General Medical and Surgical Hospitals,1,,,,,,,,
394,Clover Hill Dairy,Biogas,Agriculture,Reciprocating Engine,Anaerobic Digester | Space Heating | Water Heating,https://chptap.lbl.gov/profile/43/CloverHillDairy-Project_Profile.pdf,Campbellsport,WI,Midwest,300,2007,112120 Dairy Cattle and Milk Production,1,,,,,,,,
395,Crave Brothers Farm,Biogas,Agriculture,Reciprocating Engine,Anaerobic Digester | Space Heating | Water Heating,https://chptap.lbl.gov/profile/52/CraveBrothers-Project_Profile.pdf,Waterloo,WI,Midwest,633,2007,112120 Dairy Cattle and Milk Production,1,,,,,,,,
396,Holsum Elm Dairy,Biogas,Agriculture,Reciprocating Engine,Anaerobic Digester | Space Heating | Water Heating,https://chptap.lbl.gov/profile/98/HolsumElm-Project_Profile.pdf,Hilbert,WI,Midwest,1200,2007,112120 Dairy Cattle and Milk Production,1,,,,,,,,
397,"Hunter Haven Farms, Inc.",Biogas,Agriculture,Reciprocating Engine,Anaerobic Digester | Space Heating | Water Heating,https://chptap.lbl.gov/profile/103/HunterHavenFarms-Project_Profile.pdf,Pearl City,IL,Midwest,260,2005,112120 Dairy Cattle and Milk Production,1,,,,,,,,
399,Janesville Wastewater Treatment Facility,Biogas | Natural Gas,Waste and Wastewater Treatment ,Reciprocating Engine,Anaerobic Digester,https://chptap.lbl.gov/profile/109/JanesvilleWWT-Project_Profile.pdf,Janesville,WI,Midwest,400,2002,221320 Sewage Treatment Facilities,1,,,,,,,,
400,Rochester Wastewater Reclamation Plant,Biogas | Natural Gas,Waste and Wastewater Treatment ,Reciprocating Engine,Anaerobic Digester | Space Heating,https://chptap.lbl.gov/profile/191/RochesterWWT-Project_Profile.pdf,Rochester,MN,Midwest,2000,2002,221320 Sewage Treatment Facilities,1,,,,,,,,
405,"Holsum Dairy, Irish Road",Biogas,Agriculture,Reciprocating Engine,Space Heating,https://chptap.lbl.gov/profile/97/HolsumDairy-Project_Profile.pdf,Hilbert,WI,Midwest,700,2002,112120 Dairy Cattle and Milk Production,1,,,,,,,,
415,Brandonview Building,Natural Gas,Office Buildings and Skyscrapers,Reciprocating Engine,Space Cooling | Space Heating,https://chptap.lbl.gov/profile/23/Brandonview-Project_Profile.pdf,Saint Louis,MO,Central,4300,1969,531312 Nonresidential Property Managers,1,,,,,,,,
419,"East Kansas Agri-Energy, LLC",Natural Gas,Ethanol Plants,Steam Turbine,Process Heat,https://chptap.lbl.gov/profile/63/EastKansasAgriEnergy-Project_Profile.pdf,Garnett,KS,Central,1600,2005,325193 Ethyl Alcohol Manufacturing,1,,,,,,,,
420,University of Iowa,Biomass | Coal | Natural Gas,District Energy | Universities and Colleges,Steam Turbine,Space Heating,https://chptap.lbl.gov/profile/249/UniversityofIowa-Project_Profile.pdf,Iowa City,IA,Central,24900,1947,"611310 Colleges, Universities and Professional Schools",1,,,,,,,,
423,Bristol-Myers Squibb,Natural Gas,Manufacturing ,Combustion Turbine,Process Cooling | Process Heat | Space Cooling | Space Heating,https://chptap.lbl.gov/profile/25/Bristol-MyersSquibbCHPprofile2.pdf,Wallingford,CT,New England,4700,1998,325411 Medicinal and Botanical Manufacturing,1,,,,,,,,
425,Harbec Plastics,Natural Gas,Manufacturing ,Microturbine | Renewables Integrated with CHP,Space Cooling | Space Heating,https://chptap.lbl.gov/profile/95/Harbec-CHPProjectProfile_final1.pdf,Ontario,NY,New York-New Jersey,750,2001,326199 All Other Plastics Product Manufacturing,1,,,,,,,,
427,Green Mountain Coffee Roasters,Propane,Manufacturing ,Reciprocating Engine,Process Heat | Space Heating | Water Heating,https://chptap.lbl.gov/profile/88/GreenMountainCoffeeCHPprofile1.pdf,Waterbury,VT,New England,280,2003,311920 Coffee and Tea Manufacturing,1,,,,,,,,
429,The Long Island Home - South Oaks Hospital,Fuel Oil | Natural Gas,Healthcare ,Reciprocating Engine,Space Cooling | Space Heating | Water Heating,https://chptap.lbl.gov/profile/211/southoaks_case_study_02may13.pdf,Amityville,NY,New York-New Jersey,1300,1990,622110 General Medical and Surgical Hospitals,1,,,,,,,,
455,Vineyard 29,Natural Gas,Wineries,Microturbine,Process Heat | Space Cooling | Space Heating,https://chptap.lbl.gov/profile/264/vineyard-29-Project_Profile.pdf,St. Helena,CA,Western,120,2003,312130 Wineries,1,,,,,,,,
456,The Ritz-Carlton Hotel in San Francisco,Natural Gas,Hotels,Microturbine,Space Cooling | Space Heating,https://chptap.lbl.gov/profile/233/ritz-carlton-Project_Profile.pdf,San Francisco,CA,Western,240,2005,721110 Hotels and Motels,1,,,,,,,,
461,Transamerica Pyramid Building,Natural Gas,Office Buildings and Skyscrapers,Reciprocating Engine,Space Cooling | Space Heating | Water Heating,https://chptap.lbl.gov/profile/239/pyramid-building.pdf,San Francisco,CA,Western,1000,2007,531312 Nonresidential Property Managers,1,,,,,,,,
467,Columbia Energy Center,Natural Gas,Utilities,Combined Cycle Gas Turbine | Combustion Turbine | Steam Turbine,Process Heat,https://chptap.lbl.gov/profile/47/columbia_energy_center-Project_Profile.pdf,Gaston,SC,Southeast,455000,2004,221112 Fossil Fuel Electric Power Generation,1,,,,,,,,
473,UNC Chapel Hill,Coal | Fuel Oil | Natural Gas,District Energy | Universities and Colleges,Steam Turbine,Space Cooling | Space Heating | Water Heating,https://chptap.lbl.gov/profile/241/UNC_Chapel_Hill-CHP_Project_Profile.pdf,Chapel Hill,NC,Southeast,32000,1992,"611310 Colleges, Universities and Professional Schools",1,,,,,,,,
477,Kennecott Utah Copper Refinery,Natural Gas,Metals,Combustion Turbine,Process Heat,https://chptap.lbl.gov/profile/113/Kennecott_Utah_Copper_Refinery-Project_Profile.pdf,Magna,UT,Upper-West,7600,2010,331411 Primary Smelting and Refining of Copper,1,,,,,,,,
481,Kennecott Utah Copper Smelter,Waste Heat,Metals,Steam Turbine,Electricity | None,https://chptap.lbl.gov/profile/114/Kennecott_Utah_Copper_Smelter-Project_Profile.pdf,Magna,UT,Upper-West,32000,1995,331411 Primary Smelting and Refining of Copper,1,,,,,,,,
482,CF Industries,Natural Gas,Manufacturing ,Combustion Turbine,Process Heat,https://chptap.lbl.gov/profile/32/cf-industries_yazoo-Project_Profile.pdf,Yazoo City,MS,Southeast,20000,1984,325311 Nitrogenous Fertilizer Manufacturing,1,,,,,,,,
485,Vanderbilt University,Coal | Natural Gas,District Energy | Universities and Colleges,Combustion Turbine | Steam Turbine,Space Cooling | Space Heating | Steam,https://chptap.lbl.gov/profile/261/vanderbilt-Project_Profile.pdf,Nashville,TN,Southeast,17000,1925,"611310 Colleges, Universities and Professional Schools",1,,,,,,,,
493,WestRock Tacoma Kraft Mill,Biomass,Pulp and Paper ,Steam Turbine,Process Heat,https://chptap.lbl.gov/profile/204/WestRock-Project_Profile.pdf,Tacoma,WA,Northwest,60000,2009,322121 Paper Mills,1,,,,,,,,
494,Finley Buttes Regional Landfill,Biogas,Waste and Wastewater Treatment ,Reciprocating Engine,Water Heating,https://chptap.lbl.gov/profile/78/FinleyButtesLandfill-Project_Profile.pdf,Boardman,OR,Northwest,4800,2007,562212 Solid Waste Landfills,1,,,,,,,,
496,"Ergon, Inc.",Natural Gas,Refineries,Combustion Turbine,Process Heat,https://chptap.lbl.gov/profile/70/ergon-Project_Profile.pdf,Vicksburg,MS,Southeast,4720,1994,324110 Petroleum Refineries,1,,,,,,,,
497,University of Utah,Natural Gas,District Energy | Universities and Colleges,Combustion Turbine,Space Heating | Water Heating,https://chptap.lbl.gov/profile/258/University_of_Utah-Project_Profile.pdf,Salt Lake City,UT,Upper-West,6500,2008,"611310 Colleges, Universities and Professional Schools",1,,,,,,,,
499,Houston Methodist Hospital,Natural Gas,Healthcare ,Combustion Turbine,Space Cooling | Space Heating | Steam,https://chptap.lbl.gov/profile/100/Methodist_Hospital_Houston-Project_Profile.pdf,Houston,TX,Southcentral,4600,2011,622110 General Medical and Surgical Hospitals,1,,,,,,,,
500,University of Texas - Austin,Natural Gas,District Energy | Universities and Colleges,Combined Cycle Gas Turbine | Combustion Turbine | Steam Turbine,Space Heating | Water Heating,https://chptap.lbl.gov/profile/256/University_of_Texas-Project_Profile.pdf,Austin,TX,Southcentral,137000,1929,"611310 Colleges, Universities and Professional Schools",1,,,,,,,,
501,Snowbird Ski and Summer Resort,Natural Gas,Hotels,Reciprocating Engine,Space Cooling | Space Heating | Water Heating,https://chptap.lbl.gov/profile/207/Snowbird-Project_Profile.pdf,Snowbird,UT,Upper-West,5400,2021,721110 Hotels and Motels,1,Changed system size from 6500 to 5400,,,,,,,
502,Bradley Airport Energy Center,Natural Gas,Transportation,Reciprocating Engine,Space Cooling | Space Heating | Water Heating,https://chptap.lbl.gov/profile/22/BradleyAirportpp.pdf,Windsor Locks,CT,New England,5800,2002,488111 Air Traffic Control,1,,,,,,,,
503,Cooley Dickinson Hospital,Biomass,Healthcare ,Steam Turbine,Process Heat | Space Cooling | Space Heating | Water Heating,https://chptap.lbl.gov/profile/50/CooleyDickinsonCaseStudy1.pdf,Northampton,MA,New England,500,2006,622110 General Medical and Surgical Hospitals,1,,,,,,,,
504,Frito-Lay Killingly,Natural Gas,Manufacturing ,Combustion Turbine,Process Heat,https://chptap.lbl.gov/profile/435/PepsiCoFrito-LayCHPCaseStudy.pdf,Killingly,CT,New England,4600,2009,311919 Other Snack Food Manufacturing,1,,,,,,,,
506,Smith College Energy Center,Fuel Oil | Natural Gas,District Energy | Universities and Colleges,Combustion Turbine,Space Cooling | Space Heating,https://chptap.lbl.gov/profile/205/SmithCollege3.5MWCHPApplication1.pdf,Northampton,MA,New England,3500,2008,"611310 Colleges, Universities and Professional Schools",1,,,,,,,,
507,Seaman Paper,Biomass,Pulp and Paper ,Steam Turbine,Process Heat,https://chptap.lbl.gov/profile/198/Seamanpaper1.pdf,Otter River,MA,New England,283,2009,322121 Paper Mills,1,,,,,,,,
509,San Diego VA Hospital,Natural Gas,Healthcare ,Combustion Turbine,Process Heat | Space Cooling | Space Heating,https://chptap.lbl.gov/profile/194/san-diego-va-Project_Profile.pdf,San Diego,CA,Western,4600,2005,622110 General Medical and Surgical Hospitals,1,,,,,,,,
510,Smithfield Gardens Assisted Living Community,Natural Gas,Healthcare ,Reciprocating Engine,Space Cooling | Space Heating | Water Heating,https://chptap.lbl.gov/profile/206/SmithfieldGardensCaseStudy1.pdf,Seymour,CT,New England,75,2006,623311 Continuing Care Retirement Communities,1,,,,,,,,
511,Burlingame Wastewater Treatment Plant,Biogas | Natural Gas,Waste and Wastewater Treatment ,Reciprocating Engine,Anaerobic Digester | Process Heat,https://chptap.lbl.gov/profile/28/burlingame-wastewater-treatment-Project_Profile.pdf,Burlingame,CA,Western,177,2006,221320 Sewage Treatment Facilities,1,,,,,,,,
515,Texas Medical Center and TECO,Natural Gas,District Energy | Healthcare ,Combustion Turbine | Steam Turbine,Dehumidification | Electricity | Space Cooling | Space Heating | Steam | Water Heating,https://chptap.lbl.gov/profile/227/Texas_Medical_Center-Project_Profile.pdf,Houston,TX,Southcentral,48000,2010,622110 General Medical and Surgical Hospitals,1,,,,,,,,
516,Southside Water Reclamation Plant,Biogas | Natural Gas,Waste and Wastewater Treatment ,Reciprocating Engine,Anaerobic Digester | Space Heating,https://chptap.lbl.gov/profile/213/Southside_Water_Reclamation-Project_Profile.pdf,Albuquerque,NM,Southcentral,6600,1986,221320 Sewage Treatment Facilities,1,,,,,,,,
518,James H. Quillen VA Medical Center,Biogas,Healthcare ,Reciprocating Engine,Space Cooling | Space Heating | Steam,https://chptap.lbl.gov/profile/108/james_quillen_medical_center-project_profile1.pdf,Mountain Home,TN,Southeast,3200,2001,622110 General Medical and Surgical Hospitals,1,,,,,,,,
519,Eastern Municipal Water District,Natural Gas,District Energy | Office Buildings and Skyscrapers | Utilities | Waste and Wastewater Treatment ,Microturbine,None | Space Cooling,https://chptap.lbl.gov/profile/66/EMWD-Project_Profile.pdf,Riverside County,CA,Western,480,2002,221310 Water Supply and Irrigation Systems,1,,,,,,,,
520,Kaiser Permanente Vacaville Medical Center,Natural Gas,Healthcare ,Microturbine,Space Heating | Water Heating,https://chptap.lbl.gov/profile/112/kaiser-medical-center-vacaville-Project_Profile.pdf,Vacaville,CA,Western,750,2009,622110 General Medical and Surgical Hospitals,1,,,,,,,,
523,Rochester Airport,Natural Gas,Transportation,Reciprocating Engine,Space Cooling | Space Heating,https://chptap.lbl.gov/profile/190/RochesterAirportCaseStudy_Final.pdf,Rochester,NY,New York-New Jersey,1500,2002,488111 Air Traffic Control,1,,,,,,,,
525,Syracuse University,Natural Gas,Data Centers | Universities and Colleges,Microturbine,Space Cooling | Space Heating,https://chptap.lbl.gov/profile/221/SyracuseCaseStudy_Final.pdf,Syracuse,NY,New York-New Jersey,780,2009,"611310 Colleges, Universities and Professional Schools",1,,,,,,,,
529,East Bay Municipal Utility District WWTP,Biogas,Utilities | Waste and Wastewater Treatment ,Combustion Turbine | Reciprocating Engine,Anaerobic Digester,https://chptap.lbl.gov/profile/62/ebmud-wwtp.pdf,Oakland,CA,Western,11000,1985,221320 Sewage Treatment Facilities,1,,,,,,,,
530,Port Arthur Steam Energy / Oxbow Corp.,Waste Heat,Manufacturing ,Steam Turbine,Electricity | Process Heat | Steam,https://chptap.lbl.gov/profile/186/Port_Arthur_Steam-Project_Profile.pdf,Port Arthur,TX,Southcentral,5000,2005,324199 Other Petroleum and Coal Products Manufacturing,1,,,,,,,,
531,Mississippi Baptist Medical Center,Natural Gas,Healthcare ,Combustion Turbine,Process Heat | Space Cooling | Space Heating | Water Heating,https://chptap.lbl.gov/profile/130/ms_baptist_medical_center-Project_Profile.pdf,Jackson,MS,Southeast,4600,1991,622110 General Medical and Surgical Hospitals,1,,,,,,,,
532,Allentown Wastewater Treatment Plant,Biogas,Waste and Wastewater Treatment ,Microturbine,Anaerobic Digester,https://chptap.lbl.gov/profile/9/allentown_wwtp_project_profile1.pdf,Allentown,PA,Mid-Atlantic,390,2001,221320 Sewage Treatment Facilities,1,,,,,,,,
534,St. Helena Hospital,Natural Gas,Healthcare ,Fuel Cell,Space Heating | Water Heating,https://chptap.lbl.gov/profile/215/st-helena-hospital.pdf,St. Helena,CA,Western,400,2010,622110 General Medical and Surgical Hospitals,1,,,,,,,,
535,Danville Sanitary District,Biogas,Waste and Wastewater Treatment ,Reciprocating Engine,Anaerobic Digester | Space Heating,https://chptap.lbl.gov/profile/53/Danville-Project_Profile.pdf,Danville,IL,Midwest,150,2013,221320 Sewage Treatment Facilities,1,,,,,,,,
536,Downers Grove Sanitary District,Biogas,Waste and Wastewater Treatment ,Reciprocating Engine,Anaerobic Digester,https://chptap.lbl.gov/profile/58/DownersGrove-Project_Profile.pdf,Downers Grove,IL,Midwest,280,2014,221320 Sewage Treatment Facilities,1,,,,,,,,
537,Freres Lumber,Biomass,Forest Products,Steam Turbine,Process Heat,https://chptap.lbl.gov/profile/83/FreresLumber-Project_Profile.pdf,Lyons,OR,Northwest,10500,2007,321113 Sawmills,1,,,,,,,,
538,Budd Inlet Wastewater Treatment Facility,Biogas,Waste and Wastewater Treatment ,Reciprocating Engine,Process Heat,https://chptap.lbl.gov/profile/27/BuddInletWWTF-Project_Profile.pdf,Olympia,WA,Northwest,2000,2007,221320 Sewage Treatment Facilities,1,,,,,,,,
539,Cox Interior,Biomass,Manufacturing ,Steam Turbine,Process Heat,https://chptap.lbl.gov/profile/51/cox_interior-Project_Profile.pdf,Campbellsville,KY,Southeast,5000,1994,321918 Other Millwork,1,,,,,,,,
540,Eastman's Tennessee Operations,Coal | Natural Gas,Manufacturing ,Steam Turbine,Process Heat | Space Heating,https://chptap.lbl.gov/profile/67/eastman-Project_Profile.pdf,Kingsport,TN,Southeast,200000,1930,325211 Plastics Material and Resin Manufacturing,1,,,,,,,,
541,BP's Helios Plaza,Natural Gas,Data Centers | Office Buildings and Skyscrapers,Combustion Turbine,Space Cooling,https://chptap.lbl.gov/profile/21/Helios_Plaza-Project_Profile.pdf,Houston,TX,Southcentral,4600,2009,531312 Nonresidential Property Managers,1,,,,,,,,
543,Dell Children's Medical Center & Austin Energy,Natural Gas,Healthcare | Utilities,Combustion Turbine,Space Cooling | Steam,https://chptap.lbl.gov/profile/55/Dell_Childrens_Medical_Center-Project_Profile.pdf,Austin,TX,Southcentral,4300,2007,622110 General Medical and Surgical Hospitals,1,,,,,,,,
544,O'Hair Shutters,Natural Gas,Manufacturing ,Reciprocating Engine,Process Heat,https://chptap.lbl.gov/profile/173/OHair_Shutters-Project_Profile.pdf,Lubbock,TX,Southcentral,1300,2011,321918 Other Millwork,1,,,,,,,,
545,University of Colorado at Boulder,Natural Gas,Universities and Colleges,Combustion Turbine | Steam Turbine,Steam,https://chptap.lbl.gov/profile/246/CU-Boulder-Project_Profile.pdf,Boulder,CO,Upper-West,32000,1992,"611310 Colleges, Universities and Professional Schools",1,,,,,,,,
546,Toray Plastics America,Natural Gas,Manufacturing ,Combustion Turbine | Reciprocating Engine,Process Cooling | Space Heating | Steam,https://chptap.lbl.gov/profile/236/TorayCHP.pdf,North Kingstown,RI,New England,20000,2002,325211 Plastics Material and Resin Manufacturing,1,,,,,,,,
547,Boa Vista Apartments,Natural Gas,Multi-family Housing | Office Buildings and Skyscrapers,Reciprocating Engine,Space Heating | Water Heating,https://chptap.lbl.gov/profile/19/boavistachp.pdf,New Bedford,MA,New England,75,2009,531110 Rental Housing,1,,,,,,,,
548,Gurwin Jewish Nursing & Rehabilitation Center,Natural Gas,Healthcare ,Reciprocating Engine,Space Heating | Water Heating,https://chptap.lbl.gov/profile/94/GurwinCHP.pdf,Commack,NY,New York-New Jersey,450,2010,623311 Continuing Care Retirement Communities,1,,,,,,,,
549,Cokenergy,Waste Heat,Metals | Utilities,Steam Turbine,Process Heat,https://chptap.lbl.gov/profile/44/Cokenergy-Project_Profile.pdf,East Chicago,IN,Midwest,95000,1998,331110 Iron and Steel Mills,1,,,,,,,,
550,First National Bank of Omaha,Natural Gas,Data Centers,Fuel Cell,Space Heating,https://chptap.lbl.gov/profile/79/FirstNationalBank-Project_Profile.pdf,Omaha,NE,Central,400,2013,"518210 Data Processing, Hosting and Related Services",1,,,,,,,,
551,Northern Border Pipeline,Waste Heat,Pipelines,Organic Rankine Cycle,Electricity,https://chptap.lbl.gov/profile/170/NorthernBorderPipeline-Project_Profile.pdf,St. Anthony,ND,Upper-West,5500,2006,221210 Natural Gas Distribution,1,,,,,,,,
552,Des Moines Wastewater Reclamation Authority,Biogas,Waste and Wastewater Treatment ,Reciprocating Engine,Anaerobic Digester | Space Heating,https://chptap.lbl.gov/profile/57/DesMoinesWastewaterReclamationAuthority-Project_Profile.pdf,Des Moines,IA,Central,4600,1992,221320 Sewage Treatment Facilities,1,,,,,,,,
