Subject,Event Type,Title,Location,Event Date,AMO Pillar,Description,Attachment
Energy Intensive Industries,Workshop,Natural Gas Infrastructure R&D and Methane Emissions Mitigation Workshop,"Coraopolis, PA",11/12/2014,R&D Projects ,The Advanced Manufacturing Office (AMO) and the Office of Fossil Energy (FE) hosted a workshop as a follow-up to the President?s Climate Action Plan and the DOE meeting series on reducing methane emissions from natural gas pipeline systems.,https://www.energy.gov/eere/amo/downloads/natural-gas-infrastructure-rd-and-methane-emissions-mitigation-workshop
Advanced Processes,Workshop,Manufacturing Innovation Multi-Topic Workshop ,"Fort Worth, TX",10/8/2014,AMO,"DOE's Advanced Manufacturing Office (AMO) and the Office of Secretary of Defense Manufacturing Technology Program (OSD ManTech) held a joint workshop. This workshop identified mid-Technology Readiness Level (TRL) research and development (R&D) needs, mark",https://www.energy.gov/eere/amo/downloads/manufacturing-innovation-multi-topic-workshop
Advanced Processes,Workshop,Fiber Reinforced Polymer Composite Manufacturing Workshop ,"Arlington, VA",1/13/2014,R&D Projects ,A workshop on Fiber Reinforced Polymer (FRP) Composite Manufacturing brought together stakeholders from industry and academia to discuss manufacturing of composites. The workshop explored emerging FRP composite market applications in clean energy and barr,https://www.energy.gov/eere/amo/downloads/fiber-reinforced-polymer-composite-manufacturing-workshop
Advanced Processes,Workshop,Clean Energy Manufacturing Initiative: Regional and National Summit Series ,"Toledo, OH",6/21/2013,AMO,The Clean Energy Manufacturing Initiative (CEMI) is a Department of Energy initiative focused on increasing American competitiveness in Clean Energy Manufacturing. CEMI is hosting a series of regional and national summits to gather input on manufacturing ,https://www.energy.gov/eere/amo/clean-energy-manufacturing-initiative-regional-and-national-summit-series
Combined Heat and Power (CHP),Webinar,CHP: Enabling Resilient Energy Infrastructure,,4/3/2013,R&D Projects,"This presentation discussed the role for CHP systems in critical infrastructure resiliency, business continuity, and emergency planning and operations.",https://www.energy.gov/sites/prod/files/2013/11/f4/chp_enabling_resilient_energy_infrastructure.pdf
Workforce Development,Webinar,Becoming a Certified Practitioner or a Certified Energy Engineer,,9/11/2012,AMO,This presentation covered Certified Practitioner (CP) and Certified Energy Manager (CEM) credentialing.,https://www.energy.gov/sites/prod/files/2013/11/f4/tuesday_webcast_for_industry_sept2012.pdf
Technical Assistance,Webinar,Public Relations for Energy Sustainability,,8/14/2012,AMO,"Presented by Lisa Calhoun CEO, Write2Market, this webinar provided public relations strategies for energy sustainability.",https://www.energy.gov/sites/prod/files/2013/11/f4/tuesday_webcast_for_industry_august_2012.pdf
Advanced Processes,Workshop,Microwave and Radio Frequency Workshop ,"Long Beach, CA",7/25/2012,R&D Projects ,"At the Microwave and Radio Frequency Workshop, academic and industry experts discussed the existing and emerging electrotechnologies ? such as microwave (MW) and radio frequency (RF) energy ? and their potential to impact advanced manufacturing. Exploitin",https://www.energy.gov/eere/amo/downloads/microwave-and-radio-frequency-workshop
Energy Technology Manufacturing,Workshop,Wide Bandgap Semiconductors for Clean Energy Workshop,"Chicago, IL",7/25/2012,R&D Projects ,A workshop on Wide Bandgap (WBG) Semiconductors for Clean Energy brought together stakeholders from industry and academia to discuss the technical status of WBG semiconductors. The workshop also explored emerging WBG market applications in clean energy an,https://www.energy.gov/eere/amo/downloads/wide-bandgap-semiconductors-clean-energy-workshop-0
Advanced Processes,Workshop,Membrane Technology Workshop ,"Chicago, IL",7/24/2012,R&D Projects ,"At the Membrane Technology Workshop stakeholders from industry and academia explored the status of membrane research and development (R&D). Participants discussed R&D barriers, emerging applications, and advanced membrane technologies in commercial and in",https://www.energy.gov/eere/amo/downloads/membrane-technology-workshop-0 
Technical Assistance,Webinar,What the World's GREATEST Energy Managers Do Differently,,7/10/2012,AMO,"
Presented by Nasr Alkadi from Oak Ridge National Laboratory, this webinar provided tips on how to become efficient energy managers.    
",https://www.energy.gov/sites/prod/files/2013/11/f4/july_2012_webcast_for_industry.pdf
High Performance Materials,Workshop,Sustainable Nanomaterials Workshop,"Washington, DC",6/26/2012,R&D Projects ,The Sustainable Nanomaterials Workshop gathered stakeholders from industry and academia to discuss the current state of the art for sustainable nanomaterials as well as manufacturing challenges and opportunities. Sustainable nanomaterial production from f,https://www.energy.gov/eere/amo/downloads/sustainable-nanomaterials-workshop
High Performance Materials,Workshop,Multimaterial Joining Workshop ,"Chicago, IL",6/23/2012,R&D Projects ,"At the Multimaterial Joining Workshop subject matter experts from industry and academia described their views on state-of-the-art technologies, opportunities, and manufacturing challenges. Multimaterial joining techniques are important to diverse industri",https://www.energy.gov/eere/amo/downloads/multimaterial-joining-workshop
Advanced Processes,Workshop,Innovative Manufacturing Initiative Recognition Day ,"Washington, DC",6/20/2012,AMO,The Innovative Manufacturing Initiative (IMI) Recognition Day showcased IMI projects selected by the Energy Department to help American manufacturers dramatically increase the energy efficiency of their operations and reduce costs. Each project will advan,https://www.energy.gov/eere/amo/downloads/innovative-manufacturing-initiative-recognition-day
Advanced Processes,Webinar,Making Energy Efficiency Part of Corporate Culture,,6/12/2012,Technical Partnerships,This presentation discussed how Nissan Motor Company incorporated energy efficiency into its corporate environment through executive management support and cross-functional corporate teams.,https://www.energy.gov/sites/prod/files/2013/11/f4/june_2012_webcast_for_industry.pdf
Advanced Processes,Webinar,The Do and Check Processes of an Energy Management System,,5/10/2012,Technical Partnerships,"This presentation covered the ?Do and Check? processes of an Energy Management System.  ""Do"" processes include training, documents, operational control, communication, design, and procurement. ""Check"" processes include measuring and monitoring, legal requ",https://www.energy.gov/sites/prod/files/2013/11/f4/energy_management_implementation_webinar3_5-10-12.pdf
Energy Intensive Industries,Webinar,Tax Rebates/Credits Available for Energy Efficiency Actions,,5/8/2012,AMO,"Presented by Jeffrey Harris from Alliance to Save Energy, this webinar presented industry sector incentives for energy-efficient investments.",https://www.energy.gov/sites/prod/files/2013/11/f4/may_2012_webcast_for_industry.pdf
Technical Assistance,Webinar,Introduction to an Energy Management System,,4/19/2012,Technical Partnerships,This presentation provided an overview of energy management system (EnMS) implementation by describing what an EnMS is and why an EnMS is useful.,https://www.energy.gov/sites/prod/files/2013/11/f4/energy_management_implementation_webinar_1_4-19-12.pdf
Technical Assistance,Webinar,Engaging Supply Chains in Energy Management,,4/10/2012,Technical Partnerships,"Featuring presenters from PepsiCo and EUISSICA, this webinar covered ways of engaging industrial suppliers involved in energy management.",https://www.energy.gov/sites/prod/files/2013/11/f4/april_2012_tuesday_webcast_for_industry.pdf
Critical Materials,Workshop,Critical Materials Workshop,"Arlington, VA",4/3/2012,R&D Consortia,"AMO hosted a public workshop to provide background information on critical materials assessment, the current research within DOE related to critical materials, and the foundational aspects of Energy Innovation Hubs. Additionally, the workshop solicited in",https://www.energy.gov/eere/amo/downloads/critical-materials-workshop-0
Technical Assistance,Webinar,Superior Energy Performance: Getting the Most Value from ISO 50001,,3/13/2012,Technical Partnerships,This presentation described ISO 50001 and explained how Superior Energy Performance can help get the most value from implementation of an Energy Management Standard.,https://www.energy.gov/sites/prod/files/2013/11/f4/march_2012_webcast_for_industry.pdf
Advanced Processes,Workshop,Manufacturing Demonstration Facility Workshop,"Chicago, IL",3/12/2012,R&D Consortia,"The Manufacturing Demonstration Facility Workshop  invited stakeholders to discuss key foundational aspects of planning a series of Manufacturing Demonstration Facilities (MDFs). MDFs will create a collaborative, shared infrastructure around targeted tech",
Advanced Processes,Workshop,Manufacturing Demonstration Facility Workshop,"Chicago, IL",3/12/2012,R&D Consortia,"The Manufacturing Demonstration Facility Workshop  invited stakeholders to discuss key foundational aspects of planning a series of Manufacturing Demonstration Facilities (MDFs). MDFs will create a collaborative, shared infrastructure around targeted tech",https://www.energy.gov/eere/amo/downloads/manufacturing-demonstration-facility-workshop
Technical Assistance,Webinar,Key Energy-Saving Projects for Smaller Facilities,,1/10/2012,Technical Partnerships,This presentation discussed how smaller industrial facilities can save energy and how the Industrial Assessment Centers can help. Briggs & Stratton provided examples of projects and implementation plans which worked for them.,https://www.energy.gov/sites/prod/files/2013/11/f4/january_2012_webcast_for_industry.pdf
Technical Assistance,Webinar,Regional Energy Efficiency Programs,,12/13/2011,Technical Partnerships,"This presentation covered regional industrial energy efficiency programs in the Midwest, Southeast, and Southwest.",https://www.energy.gov/sites/prod/files/2013/11/f4/december_2011_webcast_for_industry.pdf
Technical Assistance,Webinar,Unveiling the Implementation Guide,,10/11/2011,Technical Partnerships,"This presentation displayed the findings from the report, ""Guiding Principles for Successfully Implementing Industrial Energy Assessment Recommendations."" The Guide?s 11 principles were a result of discussions at the Learning from Success: Assessment-to-I",https://www.energy.gov/sites/prod/files/2013/11/f4/october_2011_webcast_for_industry.pdf
Technical Assistance,Webinar,Securing Financial Incentives for Energy Efficiency Projects: How to Create Corporate Support,,9/13/2011,Technical Partnerships,"This presentation was a part of a series of informational webinars for state, regional, and utility partners to learn how to help manufacturing customers save energy. Webinars featured experts from utilities, government, and industry.",https://www.energy.gov/sites/prod/files/2013/11/f4/september_2011_webcast_for_industry.pdf
Technical Assistance,Webinar,Energy Manager Webinar Series,,8/23/2011,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in these one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaining ",https://www.energy.gov/eere/amo/energy-manager-webinar-series
Technical Assistance,Webinar,Build Replication into Corporate Culture,,8/23/2011,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in a series one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaini",https://www.energy.gov/sites/prod/files/2013/11/f4/sen_webinar_08-2011.pdf
Energy Efficiency,Webinar,Establishing & Maintaining a Strategic Partnership with the Chief Financial Officer,,8/9/2011,AMO,"In this presentation, Neal Elliot of the American Council for an Energy-Efficient Economy shared insights on how to establish and maintain a partnership with the Chief Financial Officer.",https://www.energy.gov/sites/prod/files/2013/11/f4/august_2011_webcast_for_industry.pdf
Technical Assistance,Webinar,Determine and Communicate the Value of Replication,,7/26/2011,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in a series one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaini",https://www.energy.gov/sites/prod/files/2013/11/f4/sen_webinar_07-2011.pdf
Technical Assistance,Webinar,"""Just do it (replicate)"" with Plans, Tools, and Resources",,6/28/2011,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in a series one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaini",https://www.energy.gov/sites/prod/files/2013/11/f4/sen_webinar_06-2011.pdf
Technical Assistance,Webinar,Sell Management on Replication and Build a Network,,5/24/2011,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in a series one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaini",https://www.energy.gov/sites/prod/files/2013/11/f4/sen_webinar_05-2011.pdf
Technical Assistance,Webinar,Replicate Best Practices,,4/26/2011,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in a series one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaini",https://www.energy.gov/sites/prod/files/2013/11/f4/sen_webinar_04-2011.pdf
Energy Efficiency,Webinar,Industrial Customer Perspective on Utility Energy Efficiency Programs,,2/1/2011,Technical Partnerships,"This presentation was a part of a series of informational webinars for state, regional, and utility partners to learn how to help manufacturing customers save energy. Webinars featured experts from utilities, government, and industry.",https://www.energy.gov/sites/prod/files/2013/11/f4/industrial_customer_perspectives_webinar_feb2011.pdf
Technical Assistance,Webinar,Providing Rewards and Recognition,,11/10/2010,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in a series one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaini",https://www.energy.gov/sites/prod/files/2013/11/f4/sen_webinar_11-2010.pdf
Technical Assistance,Webinar,Communicating Accomplishments to All Stakeholders,,10/13/2010,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in a series one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaini",https://www.energy.gov/sites/prod/files/2013/11/f4/sen_webinar_10-2010.pdf
Energy Technology Manufacturing,Webinar,Electric Utility Energy Efficiency Programs,,10/5/2010,R&D Projects,"This presentation discussed national trends in electric utility energy efficiency programs for industrial customers, insights from investor-owned utilities, and national trends/developments among electric cooperatives.",https://www.energy.gov/sites/prod/files/2013/11/f4/electric_utility_ee_webinar_oct_2010.pdf
Technical Assistance,Webinar,Measuring Energy Achievements,,9/8/2010,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in a series one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaini",https://www.energy.gov/sites/prod/files/2013/11/f4/sen_webinar_9-2010.pdf
Technical Assistance,Webinar,Energy Efficiency Projects: Overcoming Internal Barriers to Implementation,,9/2/2010,Technical Partnerships,This presentation discussed overcoming internal barriers to funding and/or implementing energy efficiency projects.,https://www.energy.gov/sites/prod/files/2013/11/f4/energy-efficiency-projects-overcoming-internal-barriers-to-implementation.pdf
Technical Assistance,Webinar,Financing Project Implementation,,8/11/2010,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in a series one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaini",https://www.energy.gov/sites/prod/files/2013/11/f4/sen_webinar_8-2010.pdf
Energy Efficiency,Webinar,Achieving Total Employee Engagement in Energy Efficiency,,8/5/2010,AMO,Raytheon and GM shared their experiences with employee engagement to achieve energy efficiency and sustainability goals.,https://www.energy.gov/sites/prod/files/2013/11/f4/webcast_20100805_achieving_total_employee_engagement.pdf
Technical Assistance,Webinar,"Having Plant Management Announce ""the Prize""",,7/14/2010,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in a series one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaini",https://www.energy.gov/sites/prod/files/2013/11/f4/sen_webinar_7-2010.pdf
Technical Assistance,Webinar,Role of an Energy Manager,,7/1/2010,Technical Partnerships,"This presentation discussed the role of an energy manager in benchmarking energy consumption, setting goals, monitoring energy flow, and providing training and communications.",https://www.energy.gov/sites/prod/files/2013/11/f4/webcast_20100701_role_energy_manager.pdf
Technical Assistance,Webinar,Motivating Employees to Implement Projects,,6/9/2010,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in a series one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaini",https://www.energy.gov/sites/prod/files/2013/11/f4/sen_webinar_6-2010.pdf
Technical Assistance,Webinar,Implementing a Corporate Energy Management System,,6/3/2010,Technical Partnerships,This presentation discussed Better Plants Partner 3M's experience with implementing a corporate energy management system.,https://www.energy.gov/sites/prod/files/2013/11/f4/20100603_webcast_implementing_a_corporate_energy_management_system.pdf
Technical Assistance,Webinar,Providing Resources for Implementation,,5/12/2010,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in a series one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaini",https://www.energy.gov/sites/prod/files/2013/11/f4/sen_webinar_5-2010.pdf
Technical Assistance,Webinar,Assigning Accountability for Each Project,,4/14/2010,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in a series one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaini",https://www.energy.gov/sites/prod/files/2013/11/f4/sen_webinar_4-2010.pdf
Energy Efficiency,Webinar,From Shop Floor to Top Floor: Best Business Practices in Energy Efficiency,,4/1/2010,AMO,"This presentation delivered the Pew Center on Global Climate Change's report, ?From Shop Floor to Top Floor: Best Business Practices in Energy Efficiency, which described leading corporate energy efficiency programs.?",https://www.energy.gov/sites/prod/files/2013/11/f4/doe_itp_webinar.pdf
Technical Assistance,Webinar,"Preparing for Project Implementation after an Energy Assessment (March 10, 2010)",,3/10/2010,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in a series one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaini",https://www.energy.gov/sites/prod/files/2013/11/f4/sen_webinar_3-2010.pdf
Technical Assistance,Webinar,"Preparing for Project Implementation during an Energy Assessment (February 10, 2010)",,2/10/2010,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in a series one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaini",
Technical Assistance,Webinar,"Preparing for Project Implementation before an Energy Assessment (January 13, 2010)",,1/13/2010,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in a series one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaini",https://www.energy.gov/sites/prod/files/2013/11/f4/sen_webinar_1-2010.pdf
Technical Assistance,Webinar,Creating a Climate for Successful Project Implementation,,12/9/2009,Technical Partnerships,"Energy Managers from leading manufacturing companies shared lessons learned from implementing energy savings projects in a series one-hour webinars. Topics included real-world challenges like creating a climate for successful project implementation, gaini",https://www.energy.gov/sites/prod/files/2013/11/f4/sen_webinar_12-2009.pdf
Technical Assistance,Webinar,Heating Ventilation and Air Conditioning Efficiency,,8/27/2009,R&D Projects,This presentation covered common pitfalls that lead to wasted energy in industrial heating ventilation and air conditioning Heating Ventilation and Air Conditioning Efficiency (HVAC) systems.,https://www.energy.gov/sites/prod/files/2015/05/f22/webcast_2009-0827_hvac_efficiency_1.pdf
Combined Heat and Power (CHP),Webinar,Waste Heat Management Options for Improving Industrial Process Heating Systems,,8/20/2009,R&D Projects,"This presentation covered typical sources of waste heat from process heating equipment, characteristics of waste heat streams, and options for recovery including Combined Heat and Power.",https://www.energy.gov/sites/prod/files/2013/11/f4/webcast_2009-0820_whmanage_phsystems.pdf
Combined Heat and Power (CHP),Webinar,Combined Heat and Power: Is It Right For Your Facility?,,5/14/2009,R&D Projects,This presentation provided an overview of Combined Heat and Power (CHP) technologies and how they can be used in industrial manufacturing plants to increase productivity and reduce energy and costs.,https://www.energy.gov/sites/prod/files/2013/11/f4/webcast_2009-0514_chp_in_facilities.pdf
Technical Assistance,Webinar,Project Financing: From Identification to Implementation,,4/16/2009,Technical Partnerships,This presentation discussed various means to measure the financial impact of energy efficiency projects from simple payback to annualized cost analysis.,https://www.energy.gov/sites/prod/files/2013/11/f4/webcast_2009-0416_project_financing.pdf
Industrial Assessment Centers,Webinar,Energy Assessment Results: Most Commonly Identified Recommendations,,4/16/2009,Technical Partnerships,The Missouri Industrial Assessment Center shared its experience providing energy assessments to local industry.,https://www.energy.gov/sites/prod/files/2013/11/f4/webcast_2009-0409_common_recommendations_1.pdf
Industrial Assessment Centers,Webinar,Top Low- or No-Cost Improvements,,4/2/2009,Technical Partnerships,This presentation described the top low- or no-cost projects to improve energy efficiency as identified in energy assessments performed by DOE and by the Industrial Assessment Centers.,https://www.energy.gov/sites/prod/files/2013/11/f4/webcast_2009-0402_improvements.pdf
Software Tools,Webinar,MotorMaster+ Tool Presentation,,3/19/2009,Technical Partnerships,This presentation discussed industrial motor systems and introduced the MotorMaster+ Tool Suite.,https://www.energy.gov/sites/prod/files/2013/11/f4/webcast_2009-0319_motor_master_tool.pdf
Software Tools,Webinar,QuickPEP Tool Demonstration,,2/26/2009,Technical Partnerships,This presentation introduced the QuickPEP Tool for plant energy profiling.,https://www.energy.gov/sites/prod/files/2013/11/f4/webcast_2009-0226_quickpep_tool_demo.pdf
Software Tools,Webinar,Pumping System Assessment Tool Overview,,12/15/2008,Technical Partnerships,This presentation provided an overview of AMO's pumping system assessment tool (PSAT) that is used during energy savings assessments at large industrial facilities.,https://www.energy.gov/sites/prod/files/2014/04/f15/psat_webcast.pdf
Software Tools,Webinar,AIRMaster+ Introduction,,5/15/2007,Technical Partnerships,This presentation discussed typical compressed air system operation and discussed methods of system efficiency improvement through use of the AIRMaster+ and CAC LogTool software.,https://www.energy.gov/sites/prod/files/2014/04/f15/compressed_air_webcast_0307.pdf
Software Tools,Webinar,Fan System Assessment Tool Introduction,,3/12/2007,Technical Partnerships,"This presentation provided an introduction to the Fan System Assessment Tool (FSAT). With FSAT, users can calculate the amount of energy used by their fan system; determine system efficiency; and quantify the savings potential of an upgraded system.",https://www.energy.gov/sites/prod/files/2014/04/f15/fsat_webcast_final_031207.pdf
Advanced Processes,Webinar,Process Heating Assessment and Survey Tool Introduction,,1/30/2007,Technical Partnerships,"This presentation provided an introduction to Process Heating Assessment and Survey Tool (PHAST), showed how to use the tool to survey process heating equipment that uses fuel, steam, or electricity, and helped plant personnel identify the most energy-int",https://www.energy.gov/sites/prod/files/2014/04/f15/phast_webcast_0107.pdf
