Partner_Name,City,State,Type_of_Partner,Latitude,Longitude
"Atlanta, GA",Atlanta,GA,Inaugural,33.748995,-84.387982
"Berkeley, CA",Berkeley,CA,Inaugural,37.871593,-122.272747
"Cambridge, MA",Cambridge,MA,Inaugural,42.373616,-71.109733
California Energy Commission,Sacramento,CA,Inaugural,38.581572,-121.4944
"Houston, TX",Houston,TX,Inaugural,29.760427,-95.369803
"Kansas City, MO",Kansas City,MO,Inaugural,39.099727,-94.578567
"Montgomery County, MD",Montgomery County,MD,Inaugural,39.154743,-77.240515
"New York City, NY",New York City,NY,Inaugural,40.712784,-74.005941
"Orlando, FL",Orlando,FL,Inaugural,28.538336,-81.379236
"Philadelphia, PA",Philadelphia,PA,Inaugural,39.952584,-75.165222
"Salt Lake City, UT",Salt Lake City,UT,Inaugural,40.760779,-111.891047
"Washington, D.C.",Washington,D.C.,Inaugural,38.907192,-77.036871