pid,Mandatory FEMP Standby Power Requirement,Declared Standby Power,Product Category,Company Name - Brand Name,Model Name,Model Number,Additional Model Information,UNSPSC Code,ENAC Code,Wake on LAN (WOL) Status as Shipped (Workstations Only),Notes
0,Compliant,0 to 1 W,Computer - Thin Client,IGEL Technology GmbH - IGEL,IGEL-M250C,UD2,"IGEL-M250C,UD2-LX,; IGEL-M250C,UD2-W10,",43211506,LF,,
1,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,HP t240Thin Client,TPC-HC01-TC,,43211506,LF,,
2,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,TPC-I020-TC,HP t630 Thin Client,,43211506,LF,,
3,Compliant,0 to 1 W,Computer - Thin Client,Fujitsu Technology Solutions GmbH - Fujitsu,FUTRO Q940,FUTRO Q940,"FUTRO S940,FUTRO S940,",43211506,LF,,
5,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,N07D,Wyse 5060,,43211506,LF,,
6,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,N11D,Wyse 5070,,43211506,LF,,
7,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,N12D,Wyse 5070 Ext,,43211506,LF,,
8,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,"N03D, 3290 Thin Client",Wyse 3030,,43211506,LF,,
9,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,"Dx0Q, D50Q, D90QW, D90Q7 and D90Q8",Wyse 5020,,43211506,LF,,
10,Compliant,0 to 1 W,Computer - Thin Client,Acer Incorporated - Acer,Acer E220 VERITON M26XXG,Acer E220 VERITON M26XXG,,43211506,LF,,
11,Compliant,0 to 1 W,Computer - Thin Client,Lenovo Group Limited - Lenovo,Thinkcentre M625q,10TL,"Thinkcentre M625q,10UY,; Thinkcentre M625q,10V0,; Thinkcentre M625q,10V1,; Thinkcentre M625q,10V2,",43211506,LF,,
12,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,HP t628 Thin Client,TPC-W027-TC,,43211506,LF,,
13,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,HP t530 Thin Client,TPC-W041-TC,,43211506,LF,,
15,Compliant,0 to 1 W,Computer - Thin Client,IGEL Technology GmbH - IGEL,IGEL-H850C,UD7,"IGEL-H850C,UD7-LX,; IGEL-H850C,UD7-W10,",43211506,LF,,
16,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,HP t430 Thin Client,TPC-W053-TC,,43211506,LF,,
17,Compliant,0 to 1 W,Computer - Thin Client,IGEL Technology GmbH - IGEL,IGEL-M340C,UD3,"IGEL-M340C,IZ3-HDX,; IGEL-M340C,IZ3-HORIZON,; IGEL-M340C,IZ3-RFX,; IGEL-M340C,IZ3-VIEW,; IGEL-M340C,UD3 LX,; IGEL-M340C,UD3 W7+,; IGEL-M340C,UD3-LX,; IGEL-M340C,UD3-W10,; IGEL-M340C,UD3-W7+,",43211506,LF,,
18,Compliant,0 to 1 W,Computer - Thin Client,IGEL Technology GmbH - IGEL,IGEL-H830C,UD6,"IGEL-H830C,UD5 LX,; IGEL-H830C,UD5 W10,; IGEL-H830C,UD5 W7+,; IGEL-H830C,UD5 W7,; IGEL-H830C,UD5,; IGEL-H830C,UD5-W10,; IGEL-H830C,UD6 LX,; IGEL-H830C,UD6 W10,; IGEL-H830C,UD6 W7+,; IGEL-H830C,UD6 W7,; IGEL-H830C,UD6-W10,",43211506,LF,,
19,Compliant,0 to 1 W,Computer - Thin Client,Dell Inc. - DELL,N10D,Wyse 3040,,43211506,LF,,
20,Compliant,0 to 1 W,Computer - Thin Client,"LG Electronics, Inc. - LG",CK500W,CK500W,"CK501W,CK501W,",43211506,LF,,
21,Compliant,0 to 1 W,Computer - Workstation,Dell Inc. - DELL,D01T,Dell Precision Tower 5810,,43211515,LF,Shipped Disabled,
23,Compliant,0 to 1 W,Computer - Workstation,Dell Inc. - DELL,D04X,Precision 7920 Tower,,43211515,LF,Shipped Disabled,
24,Compliant,0 to 1 W,Computer - Workstation,Dell Inc. - DELL,D02T,Precision 5820 Tower,,43211515,LF,Shipped Disabled,
25,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P320,30BJ,"ThinkStation P320,30BK,; ThinkStation P320,30BS,",43211515,LF,Shipped Enabled Under All Conditions,
26,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P320,30BG,"ThinkStation P320,30BH,; ThinkStation P320,30BR,; ThinkStation P320,30BT,; ThinkStation P320,30BW,",43211515,LF,Shipped Enabled Under All Conditions,
27,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z840 Workstation ENERGY STAR,Z840,,43211515,LF,Shipped Enabled Under All Conditions,
28,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z440 Workstation ENERGY STAR,Z440,,43211515,LF,Shipped Enabled Under All Conditions,
29,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z640 Workstation ENERGY STAR,Z640,,43211515,LF,Shipped Enabled Under All Conditions,
30,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,"HP Z2 SFF G4 Workstation
ENERGY STAR",Z2 SFF G4,,43211515,LF,Shipped Enabled Under All Conditions,
31,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,"HP Z2 Tower G4 Workstation
ENERGY STAR",Z2 Tower G4,,43211515,LF,Shipped Enabled Under All Conditions,
37,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,"HP Z2 Mini G4 Workstation
ENERGY STAR",Z2 Mini G4,,43211515,LF,Shipped Enabled Under All Conditions,
38,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P330 Tiny,30CE,"ThinkStation P330 Tiny,30CF,; ThinkStation P330 Tiny,30CG,; ThinkStation P330 Tiny,30D5,; ThinkStation P330 Tiny,30D6,; ThinkStation P330 Tiny,30D7,; ThinkStation P330 Tiny,30D8,; ThinkStation P330 Tiny,30D9,",43211515,LF,Shipped Enabled Under All Conditions,
39,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P330,30C7,"ThinkStation P330,30C8,; ThinkStation P330,30CA,; ThinkStation P330,30D1,; ThinkStation P330,30D2,; ThinkStation P330,30D4,",43211515,LF,Shipped Enabled Under All Conditions,
41,Compliant,0 to 1 W,Computer - Workstation,Dell Inc. - DELL,D02T,Precision 7820 Tower,,43211515,LF,Shipped Disabled,
44,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P520c,30BX0008US,"ThinkStation P520c,30BX0009US,",43211515,LF,Shipped Enabled Under All Conditions,
45,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P520,30BE0008US,"ThinkStation P520,30BE0009US,",43211515,LF,Shipped Enabled Under All Conditions,
46,Compliant,0 to 1 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P330,30C5,"ThinkStation P330,30C6,; ThinkStation P330,30C9,; ThinkStation P330,30CY,; ThinkStation P330,30D0,; ThinkStation P330,30D3,",43211515,LF,Shipped Enabled Under All Conditions,
14,Non-compliant,1.1 to 2 W,Computer - Thin Client,Fujitsu Technology Solutions GmbH - Fujitsu,FUTRO S740,FUTRO S740,",FUTRO S540,",43211506,LF,,
22,Non-compliant,1.1 to 2 W,Computer - Workstation,"Super Micro Computer, Inc. - Supermicro",SYS-5039A-IL,SYS-5039A-IL,,43211515,LF,Shipped,
32,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z4 G4 Workstation ENERGY STAR,Z4 G4,,43211515,LF,Shipped Enabled Under All Conditions,WOL Disable power: 1.5
33,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z240  Tower Workstation ENERGY STAR,HP Z240  Tower Workstation,,43211515,LF,Shipped Enabled Under All Conditions,WOL disabled standby power: 2.0
4,Non-compliant,2.1 to 3 W,Computer - Thin Client,IGEL Technology GmbH - IGEL,IGEL-TC215B,IGEL-TC215B,,43211506,LF,,
36,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z240 SFF Workstation ENERGY STAR,HP Z240 SFF Workstation,,43211515,LF,Shipped Enabled Under All Conditions,WOL disabled standby power: 2.1
43,Non-compliant,2.1 to 3 W,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P720,30BA00CEUS,"ThinkStation P720,30BA00CFUS,; ThinkStation P720,30BBS0M700,",43211515,LF,Shipped Enabled Under All Conditions,
34,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z8 G4 Workstation ENERGY STAR,Z8 G4,,43211515,LF,Shipped Enabled Under All Conditions,WOL Disable power: 5.7
35,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z6 G4 Workstation ENERGY STAR,Z6 G4,,43211515,LF,Shipped Enabled Under All Conditions,WOL Disable power: 3.8
40,Non-compliant,3.1 W or greater,Computer - Workstation,Dell Inc. - DELL,D02R,Precision 3930 Rack,,43211515,LF,Shipped Enabled Under All Conditions,
42,Non-compliant,3.1 W or greater,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P920,30BC001SUS,"ThinkStation P920,30BC001TUS,",43211515,LF,Shipped Enabled Under All Conditions,
