Utility_Name,Wastewater_Reclamation_Facility,Facility_Street_Address,City,State,Year_Data_Provided_by_Utility,Latitude,Longitude,Reclaimed_Water_Type
Manatee Co. Utilities,North WRF,4410 66Th Street West,Bradenton,FL,2012,27.46,-82.63,Golf Course Irrigation|Municipal and Public Areas|Residential
Manatee Co. Utilities,Southeast WRF,4410 66Th Street West,Bradenton,FL,2012,27.46,-82.63,Golf Course Irrigation|Municipal and Public Areas|Residential
Manatee Co. Utilities,Southwest WRF,4410 66Th Street West,Bradenton,FL,2012,27.46,-82.63,Golf Course Irrigation|Municipal and Public Areas|Residential
City of Brooksville,Brooksville/Cobb Road WWTF,600 S. Brooksville Avenue,Brooksville,FL,2012,28.55,-82.38,Industrial
City of Bunnell,Michael J. Mikulka WWTF,200 Tolman Street At Deen Road,Bunnell,FL,2012,29.43,-81.36,Golf Course Irrigation
"Florida Dept Corrections, Sumter Correctional Institution",Sumter Correctional Institutional WRF,9544 County Road 476B,Bushnell,FL,2012,28.68,-82.16,Municipal and Public Areas
Emerald Coast Utilities Authority,ECUA-Central WRF,2980 Old Chemstrand Rd,Cantonment,FL,2012,30.61,-87.32,Industrial|Municipal and Public Areas
City of Cape Coral,Everest Parkway WRF,1800 Everest Parkway,Cape Coral,FL,2012,26.61,-81.94,Municipal and Public Areas|Residential
City of Cape Coral,Southwest WRF,1800 Everest Parkway,Cape Coral,FL,2012,26.61,-81.94,Municipal and Public Areas|Residential
"Aqua Utilities Florida, Inc.",South Seas Plantation WRF,13000 South Seas Plantation Road,Captiva,FL,2012,26.59,-82.22,Golf Course Irrigation
City of Carrabelle,Carrabelle WRF,U.S. Highway 98,Carrabelle,FL,2012,29.92,-84.52,Commercial|Golf Course Irrigation
City of Casselberry,Casselberry WRF,700 Cross Street,Casselberry,FL,2012,28.66,-81.31,Golf Course Irrigation|Residential
Cedar Key,Cedar Key WRF,510 3Rd Streets,Cedar Key,FL,2012,29.14,-83.03,Municipal and Public Areas
City of Clearwater,East AWWTP,1650 N. Arcturas Avenue,Clearwater,FL,2012,27.98,-82.76,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
City of Clearwater,Marshall Street WWTP,1650 N. Arcturas Avenue,Clearwater,FL,2012,27.98,-82.76,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
City of Largo,City Of Largo WRF,5100 150Th Ave North,Clearwater,FL,2012,27.91,-82.71,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
"Sidney Colen & Associates, Ltd.",On Top Of The World WRF,2025 Denmark Street,Clearwater,FL,2012,27.99,-82.74,Golf Course Irrigation|Residential
City of Clermont,East WRF,3335 Hancock Road,Clermont,FL,2012,28.53,-81.75,Golf Course Irrigation|Residential
Cocoa Beach WRF,Cape Canaveral WRF,1600 Minutemen Causeway,Cocoa Beach,FL,2012,28.32,-80.63,Golf Course Irrigation|Industrial|Residential
Cocoa Beach,Cocoa Beach WRF,1600 Minutemen Causeway,Cocoa Beach,FL,2012,28.32,-80.63,Golf Course Irrigation
Quality Water Services,Traveler'S Rest RV Resort WRF,29129 Johnston Road,Dade City,FL,2012,28.4,-82.35,Golf Course Irrigation
Polk Co. Utilities,Northeast Regional WRF,200 Westview Drive,Davenport,FL,2012,28.19,-81.61,Residential
City of Daytona Beach,Bethune Point WWTF,3651 Lpga Blvd.,Daytona Beach,FL,2012,29.16,-81.11,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
City of Daytona Beach,Westside Regional WWTF,3651 Lpga Blvd.,Daytona Beach,FL,2012,29.16,-81.11,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Volusia Co. Utilities,VCUD-Southwest Regional WWTF,800 Debary Plantation Blvd,Debary,FL,2012,28.88,-81.32,Industrial|Residential
City of Deland,Deland Regional WWTF,1032 South Amelia Avenue,Deland,FL,2012,29.01,-81.3,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
South Central Regional WWT & Disposal Board,South Central Regional WWTP,1801 N. Congress Avenue,Delray Beach,FL,2012,26.48,-80.09,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
City of Deltona,Deltona Lakes WRF,401 Fisher Road,Deltona,FL,2012,28.87,-81.25,Golf Course Irrigation|Municipal and Public Areas|Residential
Volusia Co. Utilities,VCUD-Deltona North WWTF,290 Wolfpack Run,Deltona,FL,2012,28.95,-81.24,Industrial|Municipal and Public Areas
"Destin Water Users, Inc.",George French WRF,14 Industrial Park Lane,Destin,FL,2012,30.4,-86.48,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Regional Utilities of Walton Co.,Sandestin WWTP,"Hwy.98, 10 Miles East Of",Destin,FL,2012,30.39,-86.46,Golf Course Irrigation|Residential
Florida Keys Aqueduct Authority,Duck Key WWTF,Mile Marker 61,Duck Key,FL,2012,24.72,-81.07,Industrial
City of Dunedin,Dunedin WRF,1140 Highland Av,Dunedin,FL,2012,28.02,-82.79,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
City of Edgewater,Edgewater WWTF,500 West Ocean Avenue,Edgewater,FL,2012,28.99,-80.91,Industrial|Residential
St. Johns Co. Utilities,Mainland WRF,4428 Golf Ridge Drive,Elkton,FL,2012,29.81,-81.38,Golf Course Irrigation
City of Eustis,Eustis WWTF,801 Bates Avenue,Eustis,FL,2012,28.86,-81.68,Golf Course Irrigation|Municipal and Public Areas|Residential
City of Eustis,Eastern WRF,801 Bates Avenue,Eustis,FL,2012,28.86,-81.68,Golf Course Irrigation|Municipal and Public Areas|Residential
TS Environmental Services,City Of Everglades WWTF,Copeland Avenue And Kumquat Street,Everglades City,FL,2012,25.86,-81.38,Municipal and Public Areas|Residential
Nassau-Amelia Utilities,Nassau Amelia Utilities WWTF,5390 First Coast Hwy,Fernandina Beach,FL,2012,30.58,-81.45,Golf Course Irrigation|Industrial
City of Fort Meade,City Of Fort Meade WWTF,201 Edgewood Dr S,Fort Meade,FL,2012,27.75,-81.78,Industrial
City of Fort Myers,Fort Myers Central WWTF,1501 Raleigh Street,Fort Myers,FL,2012,26.65,-81.85,Golf Course Irrigation|Industrial|Municipal and Public Areas
"Forest Utilities, Inc.",Forest Utilities WWTF,6000 Forest Blvd,Fort Myers,FL,2012,26.51,-81.86,Golf Course Irrigation
Lee Co. Utilities,Fiesta Village WRF,1366 San Souci Drive,Fort Myers,FL,2012,26.54,-81.91,Golf Course Irrigation|Municipal and Public Areas|Residential
Lee Co. Utilities,San Carlos WRF,18078 Cypress Pt Rd-San Carlos Park,Fort Myers,FL,2012,26.54,-81.82,Golf Course Irrigation|Municipal and Public Areas
Lee Co. Utilities,Three Oaks WWTF,18521 Three Oaks Parkway,Fort Myers,FL,2012,26.46,-81.79,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Utilities Inc. of Eagle Ridge,Cross Creek WWTF,13050 Cross Creek Blvd,Fort Myers,FL,2012,26.55,-81.83,Golf Course Irrigation
Utilities Inc. of Eagle Ridge,Eagle Ridge WWTF,14668 Aeries Way,Fort Myers,FL,2012,26.54,-81.82,Golf Course Irrigation
Okaloosa Co. Water and Sewer,Arbennie Pritchett WRF,250 Ws Roberts Blvd.,Fort Walton Beach,FL,2012,30.46,-86.65,Golf Course Irrigation
River Park Utilities Management Association,River Park MHP,106 Glenn Street,Fruitland,FL,2012,29.48,-81.67,Golf Course Irrigation
Fort Pierce Utilities Authority,Fort Pierce Utility Authority WWTF,403 Seaway Drive/ A1A,Fort Pierce,FL,2012,27.45,-80.34,Industrial
"Harbour Ridge Property Owners Associations, Inc.",Harbour Ridge WWTF,3/4 Mi Nw Of Gilson/Becker Rds,Ft Pierce,FL,2012,27.45,-80.55,Golf Course Irrigation
Lee Co. Utilities,Gateway WRF,13240 Griffin Drive,Fort Myers,FL,2012,26.52,-81.7,Municipal and Public Areas|Residential
Lee Co. Utilities,Fort Myers Beach WRF,17155 Pine Ridge Road,Ft. Myers Beach,FL,2012,26.49,-81.94,Golf Course Irrigation|Municipal and Public Areas|Residential
Severn Trent Services,North Hutchinson WRF,State Road A1A,Ft. Pierce,FL,2012,27.45,-80.55,Municipal and Public Areas|Residential
U.S. Water Services Corporation,Pantherwoods WRF,3001Johnston Rd. W. Of Ft. Pierce,Ft. Pierce,FL,2012,27.52,-80.42,Golf Course Irrigation
City of Fort Walton Beach,Fort Walton Beach WWTP,U.S. 98 (1564 Percy Coleman Rd),Ft. Walton Bch.,FL,2012,30.42,-86.61,Golf Course Irrigation
Wynne Building Corporation,Spanish Lakes Fairways WWTF,La Villa Way/Calle De Lagos,Ft.Pierce,FL,2012,27.45,-80.55,Golf Course Irrigation
Gainesville Regional Utilities,GRU-Kanapaha WRF,3901 Southwest 63Rd Street,Gainesville,FL,2012,29.61,-82.41,Golf Course Irrigation|Municipal and Public Areas|Residential
Gainesville Regional Utilities,GRU-Main Street WRF,200 Se 16Th Ave,Gainesville,FL,2012,29.63,-82.33,Industrial|Municipal and Public Areas
University of Florida WRF,University Of Florida WRF,1070 North-South Drive,Gainesville,FL,2012,29.64,-82.35,Golf Course Irrigation|Industrial
City of Green Cove Springs,Harbor Road WWTP,1277 Harbor Road,Green Cove Springs,FL,2012,30.01,-81.7,Golf Course Irrigation
City of Groveland,Groveland WWTF,1198 Sampy Road,Groveland,FL,2012,28.54,-81.89,Golf Course Irrigation
South Santa Rosa Utility System/City of Gulf Breez,South Santa Rosa-Tiger Point WRF,1150 Circle Lane,Gulf Breeze,FL,2012,30.38,-87.09,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
City of Haines City,Haines City WRF,3642 E. Johnson Ave.,Haines City,FL,2012,28.11,-81.6,Golf Course Irrigation|Industrial|Municipal and Public Areas
CH2M HILL OMI,Town Of Havana WRF,110 E.14Th Ave.,Havana,FL,2012,30.6,-84.41,Industrial
South Martin Regional Utilities,South Martin Regional Utility WRF,8181 S.E. Skylark Avenue,Hobe Sound,FL,2012,27.11,-80.16,Golf Course Irrigation|Industrial|Residential
City of Holly Hill,Holly Hill WWTF,453 Lpga Blvd.,Holly Hill,FL,2012,29.24,-81.05,Golf Course Irrigation|Municipal and Public Areas
City of Hollywood,Cooper City WWTP,1621 North 14Th Avenue,Hollywood,FL,2012,26.03,-80.14,Golf Course Irrigation|Municipal and Public Areas
City of Hollywood,Davie WWTP,1621 North 14Th Avenue,Hollywood,FL,2012,26.03,-80.14,Golf Course Irrigation|Municipal and Public Areas
City of Hollywood,Hollywood Southern Regional WRF,1621 North 14Th Avenue,Hollywood,FL,2012,26.03,-80.14,Golf Course Irrigation|Municipal and Public Areas
US Water Services Corporation,Island Dunes WRF,8700 South A1A,Hutchinson Island,FL,2012,27.51,-80.31,Golf Course Irrigation
"Indiantown Company, Inc.",Indiantown WWTF,168Th & Rowland Canal,Indiantown,FL,2012,27.08,-80.52,Industrial
Martin Correctional Institution,Martin Correctional Institution WRF,1150 Allapattah Road S.W.,Indiantown,FL,2012,27.19,-80.48,Commercial
St. Johns Co. Utilities,Innlet Beach WWTF,Palmera Drive East,Innlet Beach,FL,2012,30.14,-81.37,Golf Course Irrigation
Citrus Co. Dept of Water Resources,Point Of Woods WRF,East Sr 470,Inverness,FL,2012,28.83,-82.26,Golf Course Irrigation
JEA,Arlington East WRF,21 West Church Street,Jacksonville,FL,2012,30.33,-81.66,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
JEA,Blacks Ford WRF,21 West Church Street,Jacksonville,FL,2012,30.33,-81.66,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
JEA,Buckman Street WWTF,2221 Buckman Street,Jacksonville,FL,2012,30.35,-81.63,Industrial
JEA,District II WWTF,1840 Cedar Bay Road,Jacksonville,FL,2012,30.43,-81.62,Industrial
JEA,Jacksonville Heights WRF,5957 Tampico Road,Jacksonville,FL,2012,30.22,-81.75,Industrial
JEA,Julington Creek WRF,21 West Church Street,Jacksonville,FL,2012,30.33,-81.66,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
JEA,Mandarin WRF,21 West Church Street,Jacksonville,FL,2012,30.33,-81.66,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
JEA,Southwest District WWTF,5420 118Th Street,Jacksonville,FL,2012,30.23,-81.72,Industrial
Navy Public Works Dept Jacksonville,USN NAS Jacksonville WRF,Naval Air Station Bldg 826,Jacksonville,FL,2012,30.22,-81.7,Golf Course Irrigation
City of Jacksonville Beach,Jacksonville Beach WRF,910 10Th Street S,Jacksonville Beach,FL,2012,30.28,-81.4,Golf Course Irrigation|Industrial
Martin Co. Utilities,North WRF,Jensen Beach Blvd.,Jensen Beach,FL,2012,27.25,-80.25,Golf Course Irrigation|Municipal and Public Areas|Residential
Loxahatchee River District,Loxahatchee River District,2500 Jupiter Park Drive,Jupiter,FL,2012,26.92,-80.14,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Loxahatchee River District,Seacoast Utilities PGA,2500 Jupiter Park Drive,Jupiter,FL,2012,26.92,-80.14,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Synagro,City Of Key Colony Beach WRF,600 N. 8Th Street,Key Colony Beach,FL,2012,24.72,-81.08,Golf Course Irrigation
Unknown Utility,North Key Largo WWTF @ Ocean Reef,31 Ocean Reef Dr Ste 301-A,Key Largo,FL,2012,25.32,-80.28,Golf Course Irrigation
Florida Keys Aqueduct Authority,Big Coppitt WWTF,1100 Kennedy Drive P. O. Box 1239,Key West,FL,2012,24.57,-81.77,Residential
K.W. Resort Utilities Corp,Key West Resort Utility,"6630 Front St., Stock Island",Key West,FL,2012,24.56,-81.8,Commercial|Golf Course Irrigation
Good Samaritan Retirement Village,Kissimmee Good Samaritan Retirement Village WRF,4020 Northgate Dr,Kissimmee,FL,2012,28.27,-81.45,Golf Course Irrigation|Municipal and Public Areas|Residential
TOHO Water Authority,Toho-Camelot WRF,5400 Camelot Country Way,Kissimmee,FL,2012,28.32,-81.49,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
TOHO Water Authority,Toho-South Bermuda Ave WRF,5400 Camelot Country Way,Kissimmee,FL,2012,28.32,-81.49,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Tohopekaliga Water Authority,Toho-Parkway WRF,2550 Fortune Road,Kissimmee,FL,2012,28.3,-81.34,Golf Course Irrigation|Municipal and Public Areas|Residential
Tohopekaliga Water Authority,Toho-Sandhill Road WRF,2200 Sand Hill Road,Kissimmee,FL,2012,28.3,-81.61,Golf Course Irrigation|Municipal and Public Areas|Residential
CH2M HILL OMI,The Villages-LSSA WWTF,2450 El Camino Real,Lady Lake,FL,2012,28.92,-81.91,Golf Course Irrigation|Municipal and Public Areas
CH2M HILL OMI,The Villages-Central Sumter Utility WWTF,Buena Vista Boulevard,Lady Lake,FL,2012,28.93,-82,Golf Course Irrigation
CH2M HILL OMI,The Villages-NSU WWTF,Buena Vista Boulevard,Lady Lake,FL,2012,28.93,-82,Golf Course Irrigation
CH2M HILL OMI,The Villages-Villages WWTF,501 Sunbelt Road,Lady Lake,FL,2012,28.92,-81.91,Golf Course Irrigation|Municipal and Public Areas
Town of Lady Lake,Lady Lake WWTF,140 Skyline Drive,Lady Lake,FL,2012,28.92,-81.91,Municipal and Public Areas
Dept of Corrections Columbia Correctional Institution,Columbia Correctional Institution WRF,East Hwy 90 Rt 7 Box 376,Lake City,FL,2012,30.38,-82.59,Commercial
Seminole Co. Env. Services,Greenwood Lakes WRF,701 Green Way Blvd,Lake Mary,FL,2012,28.73,-81.34,Municipal and Public Areas
City of Lake Wales,Lake Wales WRF,840 Henry Street,Lake Wales,FL,2012,27.9,-81.6,Industrial|Municipal and Public Areas
City of Lakeland,Glendale WRF,1825 Glendale Street,Lakeland,FL,2012,28.01,-81.93,Industrial
City of Lakeland,Northside WRF,1825 Glendale Street,Lakeland,FL,2012,28.01,-81.93,Industrial
"Cypress Lakes Utilities, Inc.",Cypress Lakes WWTF,10000 Us Highway 98,Lakeland,FL,2012,28.18,-82,Golf Course Irrigation
Polk Co. Utilities,Northwest Regional WRF,North Campbell Road,Lakeland,FL,2012,28.14,-82.01,Golf Course Irrigation|Municipal and Public Areas|Residential
Citrus Co. Dept of Water Resources,Meadowcrest WWTF,6000 West Frontier Lane,Lecanto,FL,2012,28.81,-82.48,Golf Course Irrigation
City of Leesburg,Canal Street WRF,608 North Canal Street,Leesburg,FL,2012,28.82,-81.87,Golf Course Irrigation|Residential
City of Leesburg,Plantation WRF,608 North Canal Street,Leesburg,FL,2012,28.82,-81.87,Golf Course Irrigation|Residential
City of Leesburg,Turnpike WRF,608 North Canal Street,Leesburg,FL,2012,28.82,-81.87,Golf Course Irrigation|Residential
"Utilities, Inc. of Pennbrooke",Pennbrooke WWTF,Trailwood Drive,Leesburg,FL,2012,28.83,-81.95,Golf Course Irrigation
"Severn Trent Environmental Services, Inc.",FGUA-Lehigh Acres WWTP,500 Consturction Lane,Lehigh Acres,FL,2012,26.61,-81.65,Golf Course Irrigation
CH2M HILL/City of Live Oak,City Of Live Oak WWTF,701 Lime Avenue Nw,Live Oak,FL,2012,30.31,-82.99,Municipal and Public Areas
"Aqua Utilities Florida, Inc.",Florida Central Commerce Park WRF,140 Hope St.,Longwood,FL,2012,28.7,-81.36,Municipal and Public Areas
City of Lynn Haven,Lynn Haven  WRF,825 Ohio Avenue,Lynn Haven,FL,2012,30.25,-85.65,Golf Course Irrigation|Municipal and Public Areas|Residential
Marco Island Utilities,Marco Shores WWTP,100 Windward Road,Marco Beach,FL,2012,25.93,-81.71,Golf Course Irrigation|Municipal and Public Areas
City of Marianna,City Of Marianna WRF,2832 Davey Street,Marianna,FL,2012,30.77,-85.22,Industrial
"Brevard Co., Utility Services",BCUD-South Central Regional WRF,10001 N. Wickham Road,Melbourne,FL,2012,28.23,-80.72,Golf Course Irrigation|Municipal and Public Areas|Residential
City of Melbourne,David B. Lee WWTF,835 North Apollo Boulevard,Melbourne,FL,2012,28.12,-80.64,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
City of Melbourne,Grant Street WWTF,835 North Apollo Boulevard,Melbourne,FL,2012,28.12,-80.64,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
"Brevard Co., Utility Services",BCUD-South Beaches WWTF,2800 South Sr A-1-A,Melbourne Beach,FL,2012,27.97,-80.51,Golf Course Irrigation|Residential
"Brevard Co., Utility Services",BCUD-Sykes Creek WRF,3630 N. Courtenay Parkway,Merritt Island,FL,2012,28.43,-80.71,Golf Course Irrigation|Industrial|Residential
Miami-Dade Water and Sewer Dept,MDWASD Central District WRF,Virginia Key,Miami,FL,2012,25.7442478,-80.173833,Industrial
Miami-Dade Water and Sewer Dept,MDWASD North District WRF,Ne 151 Street & Biscayne Blvd,Miami,FL,2012,25.92,-80.16,Industrial|Municipal and Public Areas
Miami-Dade Water and Sewer Dept,MDWASD South District WWTF,South District Wwtf,Miami,FL,2012,25.56,-80.47,Industrial
Clay Co. Utility Authority,CCUA-Mid-Clay Regional WWTF,Near Sr-739 A,Middleburg,FL,2012,30.09,-81.88,Residential
Clay Co. Utility Authority,CCUA-Ravines WWTF,Near Sr-739 A,Middleburg,FL,2012,30.09,-81.88,Residential
"Brevard Co., Utility Services",BCUD-North Regional WWTF,2880 Pine Avenue,Mims,FL,2012,28.68,-80.87,Golf Course Irrigation|Industrial|Residential
City of Groveland,Sunshine Parkway WWTF,Us Hwy 27 And Sr 19,Minneola,FL,2012,28.62,-81.74,Residential
City of Miramar,City Of Miramar WWTF,13900 Pembroke Road,Miramar,FL,2012,25.99,-80.33,Industrial|Municipal and Public Areas|Residential
"South Walton Utility Co., Inc.",South Walton Utility WRF,79 Scenic Gulf Dr. (Hwy 98-Near Sandestin),Miramar Bch,FL,2012,30.39,-86.35,Golf Course Irrigation|Industrial
Dept of Corrections,Jefferson Correctional Institution WRF,1050 Big Joe Road,Monticello,FL,2012,30.51,-83.8,Commercial
City of Mount Dora,Mount Dora #1 WWTF,1111 Overhiser Lane,Mount Dora,FL,2012,28.72,-81.63,Industrial|Municipal and Public Areas|Residential
City of Mount Dora,Mount Dora #2 WWTF,1111 Overhiser Lane,Mount Dora,FL,2012,28.72,-81.63,Industrial|Municipal and Public Areas|Residential
Polk Co. Utilities,Southwest Regional WWTP,Sr 37 @ Carter Road,Mulberry,FL,2012,27.81,-82,Golf Course Irrigation|Municipal and Public Areas|Residential
FGUA,Lake Fairways FFEC Six,U.S. 41 North Tamiami Trail @ Lake Fairways,N. Ft. Myers,FL,2010,26.66,-81.88,Golf Course Irrigation
FGUA/US Water Services Corporation,FGUA-Lake Fairways FFEC Six,U.S. 41 North Tamiami Trail @ Lake Fairways,N. Ft. Myers,FL,2012,26.66,-81.88,Golf Course Irrigation
Lee Co. Utilities,Waterway Estates AWTP,1667 Inlet Drive,N. Ft. Myers,FL,2012,26.64,-81.91,Municipal and Public Areas|Residential
Pasco Co. Utilities,City Of New Port Richey WWTF,All Of Pasco Co. Except New Port Richey,Not Provided,FL,2012,28.42,-82.23,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Pasco Co. Utilities,Deer Park Subregional WWTF,All Of Pasco Co. Except New Port Richey,Not Provided,FL,2012,28.42,-82.23,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Pasco Co. Utilities,Embassy Hills WRF,All Of Pasco Co. Except New Port Richey,Not Provided,FL,2012,28.42,-82.23,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Pasco Co. Utilities,Hudson Subregional WWTF,All Of Pasco Co. Except New Port Richey,Not Provided,FL,2012,28.42,-82.23,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Pasco Co. Utilities,Land O'Lakes Subregional WWTF,All Of Pasco Co. Except New Port Richey,Not Provided,FL,2012,28.42,-82.23,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Pasco Co. Utilities,Odessa Subregional WWTP,All Of Pasco Co. Except New Port Richey,Not Provided,FL,2012,28.42,-82.23,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Pasco Co. Utilities,Shady Hills Subregional WWTF,All Of Pasco Co. Except New Port Richey,Not Provided,FL,2012,28.42,-82.23,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Pasco Co. Utilities,Southeast Pasco Subregional WWTF,All Of Pasco Co. Except New Port Richey,Not Provided,FL,2012,28.42,-82.23,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
Pasco Co. Utilities,Wesley Center Subregional WWTF,All Of Pasco Co. Except New Port Richey,Not Provided,FL,2012,28.42,-82.23,Golf Course Irrigation|Industrial|Municipal and Public Areas|Residential
City of Naples,Naples WRF,1400 3Rd Ave. North,Naples,FL,2012,26.13,-81.8,Golf Course Irrigation|Municipal and Public Areas|Residential
Collier Co. Wastewater Dept,North WRF,10500 Goodlette-Frank Road,Naples,FL,2012,26.24,-81.76,Golf Course Irrigation|Municipal and Public Areas|Residential
Collier Co. Wastewater Dept,South WRF,10500 Goodlette-Frank Road,Naples,FL,2012,26.24,-81.76,Golf Course Irrigation|Municipal and Public Areas|Residential
Collier Co. Wastewater Dept,South Regional WRF,5600 Warren Street,Naples,FL,2010,26.1,-81.73,Golf Course Irrigation|Municipal and Public Areas|Residential
"Severn Trent Environmental Services, Inc.",Port Of The Islands-South WRF,12600 Union Road,Naples,FL,2012,25.98,-81.51,Residential
"Holley Navarre Water System, Inc.",Holley-Navarre WWTF,2166 Pepper Drive,Navarre,FL,2012,30.42,-86.9,Golf Course Irrigation|Municipal and Public Areas
Navarre Beach STP,Santa Rosa Co.-Navarre Beach WWTF,1411 Utility Drive,Navarre,FL,2012,30.43,-86.89,Industrial
US Water Services Corporation,FGUA-Seven Springs WWTF,2850 Seven Springs Blvd,New Port Richey,FL,2012,28.21,-82.69,Golf Course Irrigation|Municipal and Public Areas|Residential
City of New Smyrna Beach,New Smyrna Beach WWTF,207 Williamson Blvd,New Smyrna Beach,FL,2012,29.04,-80.9,Golf Course Irrigation|Industrial|Residential
NVOC Regional Sewer Board,Niceville-NVOC Regional WWTF,507 Crestview Avenue,Niceville,FL,2012,30.53,-86.47,Golf Course Irrigation|Municipal and Public Areas|Residential
US Water Services Corporation,FGUA-North Fort Myers Utility WRF,4000 Del Prado Blvd. N,North Ft. Myers,FL,2012,26.73,-81.91,Golf Course Irrigation|Municipal and Public Areas|Residential
US Water Services Corporation,North Fort Myers Utility WRF,4000 Del Prado Blvd. N,North Ft. Myers,FL,2010,26.73,-81.91,Golf Course Irrigation|Municipal and Public Areas|Residential
City of North Port,North Port WWTF,200 North Pan American Boulevard,North Port,FL,2012,27.05,-82.25,Golf Course Irrigation|Municipal and Public Areas|Residential
City of Venice,Eastside WRF,3510 Laurel Road E,North Venice,FL,2012,27.14,-82.39,Golf Course Irrigation|Municipal and Public Areas|Residential
Volusia Co. Utilities,VCUD-Southeast Regional WRF,325 Beacon Light Road,Oak Hill,FL,2012,28.83,-80.86,Industrial
Bay Laurel Center CDD,On Top Of The World/Bay Laurel  WRF,8447 Sw 99 St (Sr 200) T,Ocala,FL,2012,29.13,-82.31,Golf Course Irrigation|Municipal and Public Areas
City of Ocala,Ocala WWTP #2,4200 Southeast 24Th Street,Ocala,FL,2012,29.16,-82.07,Golf Course Irrigation|Municipal and Public Areas|Residential
City of Ocala,Ocala WWTP #3,3100 Sw 67Th Avenue,Ocala,FL,2012,29.2,-82.07,Municipal and Public Areas
City of Ocala,Ocala WWTP #1,1220 N.W. 4Th Avenue,Ocala,FL,2012,29.2,-82.14,Golf Course Irrigation|Municipal and Public Areas
